job_title,company,location,job_summary,post_date,extract_date,job_url
MIS Analyst,Vikram Roller Flour Mills Ltd,"Lawrence Road, Delhi","Finding patterns and trends in the analyzed data.
Submitting reports to the relevant department heads and management.
Job Types: Full-time, Volunteer, Walk-In.",21 days ago,01/04/2021,https://www.indeed.com/company/Vikram-Roller-Flour-Mills-Ltd/jobs/Mis-Analyst-1e8c422ae7568624?fccid=a8eb92e5ef1082db&vjs=3
Data Analyst,Snaphunt Pte Ltd,"Delhi, Delhi","Proficiency in analysing large data sets and the ability to draw business insights is required.
You will also be required to participate in brainstorming…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=f727f46aab311889&fccid=d6545ed47a8e6a25&vjs=3
Research Analyst,Manish Kapoor & Associates,"Delhi, Delhi","Organize, analyze, synthesize and/or summarize data and information using appropriate analytical methodologies and frameworks.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=436fb4ec980fad35&fccid=7d0b48d00c28d458&vjs=3
"Data Engineering Manager - Reporting and Analytics - Noida, UP",UnitedHealth Group,"Noida, Uttar Pradesh","Partner with business to define data needs and dependencies.
Create functional diagrams representative of the data flows necessary for our program delivery.",10 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=1b890362f10bca2b&fccid=d3d3520998346837&vjs=3
SQL Power BI,Parity InfoTech Solutions,"Patper Ganj, Delhi","Ability to quickly stage & shape data from data sources into reporting and analytics solutions.
Strong business acumen, able to take business requirements and…",8 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=a4d9a091db92e28a&fccid=85daaca57df03b7f&vjs=3
Data Analyst – Fresher – Data Scientist – Graduate - Fresher 8077828639 | 7303778896,Structured Learning Assistance Consultants India P...,"Delhi, Delhi","MS Office skills: Excel (Advance, including pivot tables, and macro), Word and PowerPoint (intermediate).
MI report development and assisting with other ad hoc…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=c672267d0db89bb5&fccid=348477e5863ab08a&vjs=3
Data Analysts,Zoxima,"Noida, Uttar Pradesh","Use statistical methods to analyse data and generate useful business reports.
Very good programming skills, preferably in ‘R’ language.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=cc2c3f2e822641f0&fccid=58320789fb4d971a&vjs=3
Research Analyst,Incisive Research,"Delhi, Delhi","The role involves making outbound calls into different geographies in order to collect data through Primary Sources.
Willing to work in flexible shifts.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=aece64b2504010d7&fccid=6b00a6e6d6ab92b6&vjs=3
"Specialist, Data analytics",Food Memories,"Delhi, Delhi","Acquire data from primary or secondary data sources and maintain databases/data systems and identify, analyze, and interpret trends or patterns.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=8477e8f080bb335e&fccid=768a7255a2638522&vjs=3
Senior Analyst - Research,Avasant,"New Delhi, Delhi","Conduct primary research through executive interviews, analyst briefings and synthesize the unstructured data into insights.
What we’re looking for.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=48474acc9ce26583&fccid=5db4c812123f3958&vjs=3
Business Analyst - Data Analytics,Genpact,"Noida, Uttar Pradesh","Extracting the data from multiple data source.
Work on data visualization tool Tableau Desktop Business Intelligence/Business Analytics software and other…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=95db0e87bbfba936&fccid=afe30394bfba1470&vjs=3
Data Analyst/ Scientist,ANI Calls India Private Limited,"Noida, Uttar Pradesh","Design, develop and implement data science and business analytics models for problem solving.
Analyze and evaluate research and interpret data, making sure that…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=492402d14d758918&fccid=3799fa8ac2d1edf2&vjs=3
Consultant - Tech Consulting - National - Data & Analytics - New Delhi,Ernst & Young,"New Delhi, Delhi","Functional expertise of business processes, master data, transactions & configuration knowledge in one or more of the following areas:
You will be expected to:",8 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=22d95e7210727b26&fccid=1544766d4c2915b0&vjs=3
HR Global Reporting Analyst,Bureau Veritas India,"Noida, Uttar Pradesh"," Cloud base data technology & big data, machine learning knowledge is a plus.
Monitor HR data maintenance process to improve the efficiency.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=228d920054b4b025&fccid=fdd8787d3dc18c3e&vjs=3
Business Analyst - MIS,Genpact,"Noida, Uttar Pradesh","Designing and developing data model and dashboards.
Meaningful experience in reporting, data analysis and project/client management.",21 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=2a47c077ff454a44&fccid=afe30394bfba1470&vjs=3
Business Analyst,TalentOnMerit,"Noida, Uttar Pradesh",">Proven ability to understand and leverage large volumes of data from a holistic perspective, especially around securities and trades.
If yes then how much?",16 days ago,01/04/2021,https://www.indeed.com/company/TalentOnMerit/jobs/Business-Analyst-2d07f9bf71b8571c?fccid=179c3bb459aba6d1&vjs=3
Senior Data Analyst,Udacity,"Noida, Uttar Pradesh","You will be a key part of a dynamic data team that works daily with strategic stakeholders to deliver data, prioritize resources and scale our impact.",19 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=eecf1d13ad62c6dd&fccid=1503f9b2e8718009&vjs=3
Data and Analytics - Data Visualization,ANI Calls India Private Limited,"Noida, Uttar Pradesh",Designing and implementing process automation solutions using some of the leading Data Visualization tools and other emerging automation technologies;,17 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=f8a47ea412e292e5&fccid=3799fa8ac2d1edf2&vjs=3
"Specialist, Data analytics",Food Memories,"Delhi, Delhi","Acquire data from primary or secondary data sources and maintain databases/data systems and identify, analyze, and interpret trends or patterns.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=8477e8f080bb335e&fccid=768a7255a2638522&vjs=3
Data Analyst - SAS/SQL/Macros,ANI Calls India Private Limited,"Noida, Uttar Pradesh","Familiarity with healthcare claims data desirable.
Strong skills in analysis and presenting data with M.S. Excel.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=95dad7279e911da2&fccid=3799fa8ac2d1edf2&vjs=3
Business Analyst-presentation specialist,Genpact,"Delhi, Delhi",Specialist in crafting PowerPoint presentations for investment banking and management consulting and can craft sophisticated charts in Excel and build data…,30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=16ea3865d3e5e18a&fccid=afe30394bfba1470&vjs=3
Business Analyst,Entire Software,"Noida, Uttar Pradesh","Business analyst: 3 years (Required).
Demonstratable experience analyzing data to draw business-relevant conclusions.
Salary: From ₹300,000.00 per year.",10 days ago,01/04/2021,https://www.indeed.com/company/Entire-Software/jobs/Business-Analyst-6b9ebd5073600a00?fccid=b99ef814836f83b2&vjs=3
Senior Business Analyst,Super99,"New Delhi, Delhi","Ability to derive business intelligence out of data.
Excellent analytical skills and a knack to understand and manage large volumes of data.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=3e4113cf8bbd4488&fccid=402e6dd7968f85d9&vjs=3
Research Analyst,Manish Kapoor & Associates,"Delhi, Delhi","Organize, analyze, synthesize and/or summarize data and information using appropriate analytical methodologies and frameworks.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=436fb4ec980fad35&fccid=7d0b48d00c28d458&vjs=3
Market Research Analyst,Fervour Infosystem Pvt Ltd,"Noida, Uttar Pradesh","Ability to interpret large amount of data and multi- task.
Recommend actions by analyzing and interpreting data, thus conducting comparative analyses.",23 days ago,01/04/2021,https://www.indeed.com/company/Fervour-Infosystem-Pvt-Ltd/jobs/Market-Research-Analyst-a2130cb7a14a39f3?fccid=099b4832589a6724&vjs=3
Associate Consultant - Tech Consulting - National - Data & Analytics - New Delhi,EY,"New Delhi, Delhi","Functional expertise of business processes, master data, transactions & configuration knowledge in one or more of the following areas:
You will be expected to:",7 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=70f94740ccf6492c&fccid=1544766d4c2915b0&vjs=3
